dataset,recording,location,id,width,TPlat,PAassym,fr,frLog,ratio10ms,ratio10msLog,amp,PTratio,RepSlope,RecSlope,Duration,BurstRatio,BurstRatioLog,DistFromGCtop,DistFromGCbot,ClusterDG,DistanceDG,ClusterCA13,DistanceCA13
1,3,CA1,276,0.28333333,0.8,-0.80396938,0.20802135,-0.6818921,0.02484472,-1.60476588,0.18116786,0.08475866,0.0165106,-0.00073492,0.93333333,1.31578947,0.11918641,-65,103,,0,2,10.5924280041739
1,3,CA1,278,0.43666667,0.06666667,1.05780864,0.52393902,-0.28071926,0.20320197,-0.69207209,0.01823643,-0.92476541,0.00151322,0.02292825,0.36666667,12.62135922,1.10110613,-66,104,,0,2,77.516697358465
1,3,CA1,284,0.19666667,0.56666667,1.03991389,0.38301861,-0.41678012,0.13682432,-0.86383669,0.16810268,0.34009099,0.02057932,-0.00194102,0.9,8.79120879,0.94404859,-75,113,,0,2,4.70491891429331
1,3,CA1,291,0.30333333,0.4,0.80270761,2.33926162,0.3690788,0.55726128,-0.25394113,0.24698402,1.30878437,0.01492958,-0.00814392,0.6,26.74897119,1.42730708,-68,106,,0,2,17.7496930226392
1,3,CA1,293,0.23666667,0.5,1.01396084,9.55815148,0.98037391,0.16844824,-0.77353353,0.19160531,0.25928032,0.03317823,-0.00008484,0.8,0.2593089,-0.58618258,-79,117,,0,2,6.26392239954015
1,3,CA1,294,0.20666667,0.63333333,1.04007661,2.86259095,0.45675929,0.44821606,-0.34851259,0.32228747,0.22272007,0.05022795,-0.00203339,0.96666667,23.16337719,1.36480188,-77,115,,0,2,4.09087046097132
1,3,CA1,295,0.22666667,0.76666667,1.02767515,10.72292764,1.03031338,0.02324748,-1.63362421,0.23262826,0.32962519,0.03300756,-0.00316566,0.96666667,0.15597993,-0.80693127,-79,117,,0,1,5.61963246096831
1,3,CA1,300,0.18,0.6,-0.19437833,10.8124825,1.03392542,0.36937056,-0.43253772,0.35878652,0.13322209,0.05720352,-0.00191697,0.83333333,4.34416792,0.6379066,-82,120,,0,2,5.55087330794907
1,3,CA1,306,0.24,0.43333333,1.05971372,1.93030278,0.28562544,0.40194665,-0.39583159,0.41913116,0.19814457,0.0693184,-0.00039239,0.73333333,14.31177446,1.15569348,-85,123,,0,2,5.56767347576706
1,3,CA1,317,0.15666667,0.3,0.48143804,28.71015576,1.45803555,0.07129142,-1.14696275,0.41079795,0.54010701,0.06927058,-0.00933006,0.4,0.02147445,-1.66807798,-102,140,,0,3,4.80992884153941
1,3,CA1,411,0.30666667,0.56666667,1.03260887,3.9485763,0.59644053,0.23205258,-0.6344136,0.39223647,0.33726963,0.04057647,-0.00430265,0.96666667,1.39945239,0.14595813,-86,124,,0,2,3.87007642407428
1,3,molDG,267,0.13,0.26666667,0.31632245,22.51412734,1.35245512,0.05398633,-1.26771617,0.70547336,0.26273435,0.12460832,-0.0104682,0.36666667,0.02141712,-1.66923902,-40,78,2,10.9909931874266,,0
1,3,DG,204,0.23333333,0.3,1.08305883,5.12428458,0.70963324,0.1864831,-0.72936051,0.26414734,0.56819022,0.02482892,-0.00505188,0.46666667,0.35701724,-0.44731082,36,2,4,8.20657544412043,,0
1,3,DG,210,0.28333333,0.5,1.04004085,8.71031581,0.9400339,0.01655264,-1.7811328,0.35407692,0.48853979,0.03714085,-0.00578507,0.8,0.19067569,-0.71970467,22,16,4,0.923590891778785,,0
1,3,DG,213,0.20666667,0.53333333,-0.34894013,2.77543954,0.44333177,0.0461757,-1.33558647,0.34654555,0.27789095,0.04127415,-0.00460874,0.63333333,0.39432177,-0.40414925,20,18,4,3.30291339831204,,0
1,3,DG,214,0.23333333,0.5,0.0366497,12.00611295,1.07940242,0.01323655,-1.8782252,0.26798296,0.3869603,0.02811161,-0.00402313,0.63333333,0.03329951,-1.47756222,18,20,4,1.91751144923566,,0
1,3,DG,215,0.36333333,0.66666667,0.99732661,0.39027613,-0.40862801,0.12166667,-0.91482839,0.32831478,0.33540505,0.0152818,-0.00344185,0.86666667,3.08988764,0.48994269,18,20,3,4.12842608024617,,0
1,3,DG,216,0.44666667,0.83333333,1.20029318,10.44807396,1.01903624,0.24679158,-0.60766966,0.29639357,0.21966937,0.01701063,-0.00102713,1.13333333,4.77006412,0.67852422,18,20,3,14.3482487915059,,0
1,3,DG,217,0.2,0.46666667,0.34154704,9.02268974,0.95533602,0.02265464,-1.64484282,0.34750274,0.40518329,0.04808188,-0.00574935,0.6,0.13058705,-0.8840999,17,21,4,1.62583996569815,,0
1,3,DG,218,0.45333333,0.63333333,0.88266593,5.29250256,0.72366108,0.09493824,-1.02255882,0.20730892,0.34617564,0.01321431,-0.00152115,1.13333333,1.03559469,0.01518982,16,22,3,11.8881862035441,,0
1,3,DG,219,0.24333333,0.6,-0.17505476,9.5652249,0.98069519,0.01260307,-1.89952364,0.26561898,0.3364183,0.02773416,-0.00368784,0.73333333,0.00990393,-2.00419236,19,19,4,3.00388572626609,,0
1,3,DG,221,0.24666667,0.6,0.81929731,1.17915425,0.07157062,0.00924918,-2.03389659,0.25889701,0.23813286,0.02995902,-0.00224831,0.76666667,0.63492063,-0.19728056,15,23,4,4.2177779221836,,0
1,3,DG,222,0.23,0.23333333,1.04441905,1.56230527,0.1937659,0.13220758,-0.87874365,0.26894403,0.60684341,0.04975202,-0.00677078,0.5,5.1142006,0.70877776,14,24,2,7.63040989785037,,0
1,3,DG,228,0.5,1,0.98969918,10.62904651,1.02649431,0.15156448,-0.81940257,0.37957323,0.15730716,0.01648992,0.00011466,1.36666667,0.68924899,-0.16162386,10,28,3,29.2679943769881,,0
1,3,DG,229,0.22333333,0.53333333,0.9430964,8.03300085,0.90487781,0.01341494,-1.87241124,0.35484126,0.24339445,0.04747325,-0.00312848,0.73333333,0.02896632,-1.53810673,10,28,4,1.22732548888049,,0
1,3,DG,231,0.14333333,0.23333333,1.05370855,0.19963759,-0.69975768,0.15806452,-0.80116561,0.66319013,0.2402095,0.14186716,-0.00411601,0.4,12.19512195,1.08618615,9,29,2,18.4700961240163,,0
1,3,DG,238,0.43333333,0.73333333,1.03262806,8.03908475,0.90520661,0.08243642,-1.08388088,0.33362147,0.31976917,0.01937767,-0.00230803,1.06666667,0.42732624,-0.36924044,6,32,4,10.6611318204741,,0
1,3,DG,240,0.28333333,0.53333333,1.13589358,5.62612276,0.7502092,0.22276664,-0.65214985,0.37566268,0.41152292,0.03828733,-0.0048228,0.76666667,5.46995378,0.73798366,6,32,3,1.59357964883063,,0
1,3,DG,241,0.24333333,0.56666667,0.99560153,1.98417263,0.29757945,0.00226978,-2.64401633,0.45417845,0.25270921,0.05542162,-0.00410923,0.76666667,0.03196931,-1.49526674,6,32,4,5.80016341474529,,0
1,3,DG,246,0.15666667,0.23333333,1.05568254,20.08995786,1.30297903,0.16219874,-0.78995253,0.34204182,0.44398791,0.06966776,-0.00623546,0.4,0.33062548,-0.48066369,3,35,2,3.33796473317529,,0
1,3,DG,251,0.15,0.2,0.65018559,8.77282585,0.94313951,0.29213237,-0.53442032,0.34132516,0.22572684,0.07462197,0.00706862,0.4,3.12673793,0.49509148,3,35,3,20.0724800759737,,0
1,3,DG,263,0.18,0.36666667,0.02322288,5.2607529,0.7210479,0.01088685,-1.96309775,0.45756322,0.30216324,0.07298896,-0.00684823,0.46666667,0.02289639,-1.64023291,-6,44,2,6.43842687101454,,0
1,3,DG,400,0.4,0.6,1.03003502,0.98968152,-0.00450454,0.1539961,-0.81249027,0.28217894,0.36140415,0.02074358,-0.00299372,0.9,6.34715026,0.80257878,18,20,3,3.7306803898951,,0
1,3,DG,401,0.30333333,0.73333333,-0.43060163,10.78007783,1.0326219,0.01485972,-1.82798925,0.2399607,0.16887175,0.01831677,-0.00159396,0.86666667,0.0994629,-1.00233888,12,26,4,6.34296802212748,,0
1,3,DG,402,0.21333333,0.53333333,0.61315209,1.06554567,0.02757207,0.04271961,-1.36937267,0.36498588,0.21676449,0.04943109,-0.00289942,0.7,0.97508126,-0.01095919,13,25,3,3.15827798836914,,0
1,3,DG,405,0.26,0.6,1.02262127,0.48175999,-0.31716927,0.01981707,-1.70296049,0.46586767,0.26191965,0.05247968,-0.00436024,0.8,1.11111111,0.04575749,3,35,3,6.02082335574758,,0
1,3,DG,439,0.18,0.43333333,0.88178277,0.37547268,-0.42542166,0.10398614,-0.98302456,0.37352151,0.23744957,0.0621554,-0.0035696,0.6,15.94202899,1.20254359,3,35,3,4.49901650516747,,0
1,3,DG,449,0.20333333,0.53333333,0.34233543,0.70271839,-0.15321868,0.22346369,-0.65079304,0.53086257,0.19858859,0.07397044,-0.00395715,0.7,10.61643836,1.02597884,10,28,3,6.21766070355442,,0
1,3,DG,456,0.16333333,0.33333333,0.54605889,0.45180972,-0.34504443,0.01054217,-1.97707004,0.44159839,0.24331717,0.07986468,-0.00446982,0.5,1.08225108,0.03432803,3,35,2,9.34576983676995,,0
1,4,CA1,352,0.22666667,0.43333333,1.07630777,2.68774799,0.42938855,0.05607477,-1.25123253,0.25860578,0.56698906,0.03614438,-0.00628866,0.73333333,0.42223786,-0.37444283,-65,,,0,1,3.15760006203676
1,4,CA1,370,0.22,0.26666667,1.02171123,1.09832005,0.04072891,0.00604839,-2.21836042,0.57836443,0.58553183,0.10091507,-0.0158947,0.6,,,-79,,,0,,0
1,4,CA1,467,0.22333333,0.63333333,0.90249401,0.78168334,-0.10696914,0.09635974,-1.01610437,0.43418604,0.2024195,0.05665886,-0.0028376,0.83333333,0.99009901,-0.00432137,-68,,,0,2,4.08469699511656
1,4,molDG,341,0.19666667,0.4,0.99107671,12.71099053,1.1041794,0.058603,-1.23208016,0.53530169,0.39473739,0.09890214,-0.00820323,0.7,0.16478717,-0.78307661,-41,,2,3.78902806105761,,0
1,4,molDG,343,0.15333333,0.4,0.71815288,5.47766169,0.73859521,0.00939769,-2.02697873,0.58547139,0.1978838,0.10931799,-0.00483869,0.56666667,0.02686728,-1.57077637,-52,,2,10.3677156375725,,0
